question_id,mapped_gate,old_text,new_text
BASE-000,CONTROL_EXISTS,Does the facility have biometric access capabilities?,Are biometric access systems installed at entry points?
BASE-002,CONTROL_OPERABLE,Are processes in place to ensure biometric access capabilities are maintained?,Do biometric access systems respond to access attempts?
BASE-004,CONTROL_EXISTS,Does the facility have credential / badge capabilities?,Are credential badge systems installed?
BASE-006,CONTROL_OPERABLE,Are processes in place to ensure credential / badge capabilities are maintained?,Do credential badge systems perform their basic function?
BASE-008,CONTROL_EXISTS,Does the facility have door monitoring capabilities?,Are door monitoring systems installed?
BASE-010,CONTROL_OPERABLE,Are processes in place to ensure door monitoring capabilities are maintained?,Do door monitoring systems perform their basic function?
BASE-012,CONTROL_EXISTS,Does the facility have door readers capabilities?,Are door readers systems installed?
BASE-014,CONTROL_OPERABLE,Are processes in place to ensure door readers capabilities are maintained?,Do door readers systems perform their basic function?
BASE-016,CONTROL_EXISTS,Does the facility have electric strikes / mag locks capabilities?,Are electric strikes mag locks systems installed?
BASE-018,CONTROL_OPERABLE,Are processes in place to ensure electric strikes / mag locks capabilities are maintained?,Do electric strikes mag locks systems perform their basic function?
BASE-020,CONTROL_EXISTS,Does the facility have electronic access control capabilities?,Are electronic access control systems installed at entry points?
BASE-022,CONTROL_RESILIENCE,Are processes in place to ensure electronic access control capabilities are maintained?,Does failure of a single component disable the entire system?
BASE-024,CONTROL_EXISTS,Does the facility have keypads / pin entry capabilities?,Are keypads pin entry systems installed?
BASE-026,CONTROL_OPERABLE,Are processes in place to ensure keypads / pin entry capabilities are maintained?,Do keypads pin entry systems perform their basic function?
BASE-028,CONTROL_EXISTS,Does the facility have locking hardware capabilities?,Are locking hardware systems installed?
BASE-030,CONTROL_OPERABLE,Are processes in place to ensure locking hardware capabilities are maintained?,Do locking hardware systems perform their basic function?
BASE-032,CONTROL_EXISTS,Does the facility have secured vestibules capabilities?,Are secured vestibules systems installed?
BASE-034,CONTROL_OPERABLE,Are processes in place to ensure secured vestibules capabilities are maintained?,Do secured vestibules systems perform their basic function?
BASE-036,CONTROL_EXISTS,Does the facility have visitor management capabilities?,Are visitor systems installed?
BASE-038,CONTROL_OPERABLE,Are processes in place to ensure visitor management capabilities are maintained?,Do visitor systems perform their basic function?
BASE-040,CONTROL_EXISTS,Does the facility have defensible space capabilities?,Are defensible space systems installed?
BASE-042,CONTROL_OPERABLE,Are processes in place to ensure defensible space capabilities are maintained?,Do defensible space systems perform their basic function?
BASE-044,CONTROL_EXISTS,Does the facility have exterior lighting capabilities?,Are exterior lighting fixtures installed?
BASE-046,CONTROL_OPERABLE,Are processes in place to ensure exterior lighting capabilities are maintained?,Do exterior lighting fixtures illuminate when activated?
BASE-048,CONTROL_EXISTS,Does the facility have landscaping control capabilities?,Are landscaping control systems installed at entry points?
BASE-050,CONTROL_OPERABLE,Are processes in place to ensure landscaping control capabilities are maintained?,Do landscaping control systems respond to access attempts?
BASE-052,CONTROL_EXISTS,Does the facility have natural surveillance capabilities?,Are natural surveillance cameras installed?
BASE-054,CONTROL_OPERABLE,Are processes in place to ensure natural surveillance capabilities are maintained?,Are natural surveillance cameras recording?
BASE-056,CONTROL_EXISTS,Does the facility have sightlines capabilities?,Are sightlines systems installed?
BASE-058,CONTROL_OPERABLE,Are processes in place to ensure sightlines capabilities are maintained?,Do sightlines systems perform their basic function?
BASE-060,CONTROL_EXISTS,Does the facility have territorial reinforcement capabilities?,Are territorial reinforcement systems installed?
BASE-062,CONTROL_OPERABLE,Are processes in place to ensure territorial reinforcement capabilities are maintained?,Do territorial reinforcement systems perform their basic function?
BASE-064,CONTROL_EXISTS,Does the facility have wayfinding capabilities?,Are wayfinding systems installed?
BASE-066,CONTROL_OPERABLE,Are processes in place to ensure wayfinding capabilities are maintained?,Do wayfinding systems perform their basic function?
BASE-068,CONTROL_EXISTS,Does the facility have backup communications capabilities?,Are backup communications systems installed?
BASE-070,CONTROL_RESILIENCE,Are processes in place to ensure backup communications capabilities are maintained?,Are backup systems operational and available?
BASE-072,CONTROL_EXISTS,Does the facility have communication protocols capabilities?,Are communication protocols systems installed?
BASE-074,CONTROL_OPERABLE,Are processes in place to ensure communication protocols capabilities are maintained?,Do communication protocols systems transmit and receive?
BASE-076,CONTROL_EXISTS,Does the facility have interoperable communications capabilities?,Are interoperable communications systems installed?
BASE-078,CONTROL_OPERABLE,Are processes in place to ensure interoperable communications capabilities are maintained?,Do interoperable communications systems transmit and receive?
BASE-080,CONTROL_EXISTS,Does the facility have pa systems capabilities?,Are pa systems installed?
BASE-082,CONTROL_OPERABLE,Are processes in place to ensure pa systems capabilities are maintained?,Do pa systems perform their basic function?
BASE-084,CONTROL_EXISTS,Does the facility have paging systems capabilities?,Are paging systems installed?
BASE-086,CONTROL_OPERABLE,Are processes in place to ensure paging systems capabilities are maintained?,Do paging systems perform their basic function?
BASE-088,CONTROL_EXISTS,Does the facility have radios / two-way capabilities?,Are radios two-way systems installed?
BASE-090,CONTROL_OPERABLE,Are processes in place to ensure radios / two-way capabilities are maintained?,Do radios two-way systems perform their basic function?
BASE-092,CONTROL_EXISTS,Does the facility have emergency drills capabilities?,Are emergency drills systems installed?
BASE-094,CONTROL_OPERABLE,Are processes in place to ensure emergency drills capabilities are maintained?,Do emergency drills systems perform their basic function?
