discipline,subtype,legacy_question_id,legacy_dimension,mapped_gate,action,replacement_id,notes
Access Control Systems,Biometric Access,BASE-000,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-000,Has BLOCKER violations: RULE-102
Access Control Systems,Biometric Access,BASE-001,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Biometric Access,BASE-002,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-002,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Biometric Access,BASE-003,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Credential / Badge Systems,BASE-004,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-004,Has BLOCKER violations: RULE-102
Access Control Systems,Credential / Badge Systems,BASE-005,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Credential / Badge Systems,BASE-006,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-006,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Credential / Badge Systems,BASE-007,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Door Monitoring,BASE-008,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-008,Has BLOCKER violations: RULE-102
Access Control Systems,Door Monitoring,BASE-009,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Access Control Systems,Door Monitoring,BASE-010,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-010,"Has BLOCKER violations: RULE-102, RULE-103"
Access Control Systems,Door Monitoring,BASE-011,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Access Control Systems,Door Readers,BASE-012,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-012,Has BLOCKER violations: RULE-102
Access Control Systems,Door Readers,BASE-013,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
